"","Date","Time","Wind"
"1","05/23/2011","00:00:00.175",10.69
"2","05/23/2011","00:00:00.306",11.66
"3","05/23/2011","00:00:00.437",10.14
"4","05/23/2011","00:00:00.568",12.34
"5","05/23/2011","00:00:00.700",14.74
"6","05/23/2011","00:00:00.831",12.03
"7","05/23/2011","00:00:00.962",11.99
"8","05/23/2011","00:00:01.093",6.94
"9","05/23/2011","00:00:01.224",7.83
"10","05/23/2011","00:00:01.355",9.47
"11","05/23/2011","00:00:01.486",8.07
"12","05/23/2011","00:00:01.617",9.1
"13","05/23/2011","00:00:01.748",12.61
"14","05/23/2011","00:00:01.880",10.49
"15","05/23/2011","00:00:02.011",13.01
"16","05/23/2011","00:00:02.142",13.71
"17","05/23/2011","00:00:02.273",10.46
"18","05/23/2011","00:00:02.403",10.79
"19","05/23/2011","00:00:02.534",10.26
"20","05/23/2011","00:00:02.665",10.69
"21","05/23/2011","00:00:02.796",8.38
"22","05/23/2011","00:00:02.927",8.48
"23","05/23/2011","00:00:03.058",10.38
"24","05/23/2011","00:00:03.189",9.19
"25","05/23/2011","00:00:03.321",10.45
"26","05/23/2011","00:00:03.452",8.95
"27","05/23/2011","00:00:03.582",11.47
"28","05/23/2011","00:00:03.713",10.84
"29","05/23/2011","00:00:03.844",8.62
"30","05/23/2011","00:00:03.975",9.25
"31","05/23/2011","00:00:04.106",11.63
"32","05/23/2011","00:00:04.237",11.39
"33","05/23/2011","00:00:04.368",8.2
"34","05/23/2011","00:00:04.500",8.39
"35","05/23/2011","00:00:04.631",9.06
"36","05/23/2011","00:00:04.762",9.32
"37","05/23/2011","00:00:04.893",8.84
"38","05/23/2011","00:00:05.023",8.71
"39","05/23/2011","00:00:05.154",11.4
"40","05/23/2011","00:00:05.285",12.5
"41","05/23/2011","00:00:05.416",9.35
"42","05/23/2011","00:00:05.547",11.29
"43","05/23/2011","00:00:05.678",9.44
"44","05/23/2011","00:00:05.809",8.78
"45","05/23/2011","00:00:05.941",10.23
"46","05/23/2011","00:00:06.072",6.69
"47","05/23/2011","00:00:06.202",7.4
"48","05/23/2011","00:00:06.333",8.94
"49","05/23/2011","00:00:06.464",9.83
"50","05/23/2011","00:00:06.595",11.62
"51","05/23/2011","00:00:06.726",9.72
"52","05/23/2011","00:00:06.857",9.35
"53","05/23/2011","00:00:06.988",7.58
"54","05/23/2011","00:00:07.119",6.89
"55","05/23/2011","00:00:07.251",8.38
"56","05/23/2011","00:00:07.382",9.68
"57","05/23/2011","00:00:07.512",7.8
"58","05/23/2011","00:00:07.643",9.39
"59","05/23/2011","00:00:07.774",9.72
"60","05/23/2011","00:00:07.905",7.88
"61","05/23/2011","00:00:08.036",10.29
"62","05/23/2011","00:00:08.167",8.2
