Wind Speed (m/s),Power (kW)
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,93.9547423
4.1,106.719602
4.2,118.3161245
4.3,128.9734024
4.4,138.9205283
4.5,148.3874195
4.6,157.6694593
4.7,167.1739545
4.8,177.3191734
4.9,188.5233848
5,201.204857
5.1,215.7818586
5.2,232.5240887
5.3,250.83742
5.4,269.8163346
5.5,288.5548983
5.6,306.1492423
5.7,322.1539867
5.8,337.1569691
5.9,351.8874337
6,367.0746247
6.1,383.4477861
6.2,401.7361623
6.3,422.5233725
6.4,445.2720772
6.5,468.92448
6.6,492.4199169
6.7,514.7710339
6.8,536.0570915
6.9,557.1631985
7,578.9943316
7.1,602.4008403
7.2,627.607953
7.3,654.4422549
7.4,682.72079
7.5,712.1812131
7.6,742.4770662
7.7,773.2567864
7.8,804.1480498
7.9,834.759561
8,864.7046626
8.1,893.6790622
8.2,921.443192
8.3,947.7856473
8.4,973.5110497
8.5,1000.737507
8.6,1031.670273
8.7,1067.519175
8.8,1105.077114
8.9,1139.938407
9,1170.218305
9.1,1198.61876
9.2,1228.169514
9.3,1259.285373
9.4,1290.2354
9.5,1319.329811
9.6,1346.254628
9.7,1371.66582
9.8,1396.244146
9.9,1421.684515
10,1451.976348
10.1,1490.453985
10.2,1531.7461
10.3,1566.249729
10.4,1591.237584
10.5,1610.188414
10.6,1626.772768
10.7,1643.093712
10.8,1658.896686
10.9,1673.732502
11,1687.217117
11.1,1699.326371
11.2,1710.159699
11.3,1719.816647
11.4,1728.396862
11.5,1736.020599
11.6,1742.854
11.7,1749.069398
11.8,1754.839128
11.9,1760.329301
12,1765.563538
12.1,1770.423312
12.2,1774.783942
12.3,1778.520748
12.4,1781.510349
12.5,1783.727888
12.6,1785.314481
12.7,1786.427191
12.8,1787.223081
12.9,1787.859212
13,1788.491211
13.1,1789.200065
13.2,1789.957313
13.3,1790.725772
13.4,1791.468261
13.5,1792.147596
13.6,1792.726594
13.7,1793.168074
13.8,1793.44166
13.9,1793.551916
14,1793.51458
14.1,1793.345397
14.2,1793.060111
14.3,1792.689408
14.4,1792.331762
14.5,1792.104856
14.6,1792.126375
14.7,1792.514005
14.8,1793.376734
14.9,1794.626287
15,1795.978672
15.1,1797.141503
15.2,1797.822398
15.3,1797.745283
15.4,1796.939484
15.5,1795.705371
15.6,1794.352723
15.7,1793.191317
15.8,1792.530867
15.9,1792.561437
16,1793.105626
16.1,1793.915723
16.2,1794.744017
16.3,1795.354361
16.4,1795.666751
16.5,1795.713289
16.6,1795.528531
16.7,1795.147033
16.8,1794.604011
16.9,1793.957638
17,1793.294436
17.1,1792.702682
17.2,1792.270652
17.3,1792.086622
17.4,1792.225866
17.5,1792.636379
17.6,1793.194106
17.7,1793.774175
17.8,1794.251711
17.9,1794.50184
18,1794.435958
18.1,1794.104905
18.2,1793.593033
18.3,1792.984693
18.4,1792.364235
18.5,1791.816012
18.6,1791.418614
18.7,1791.209827
18.8,1791.20982
18.9,1791.438691
19,1791.911713
19.1,1792.571409
19.2,1793.30399
19.3,1793.994205
19.4,1794.533894
19.5,1794.855734
19.6,1794.906995
19.7,1794.634963
19.8,1793.986924
19.9,1792.944444
20,1791.663365
20.1,1790.354776
20.2,1789.22979
20.3,1788.499034
20.4,1788.279118
20.5,1788.481111
20.6,1788.988906
20.7,1789.686399
20.8,1790.457484
20.9,1791.186425
21,1791.79901
21.1,1792.300103
21.2,1792.703436
21.3,1793.022743
21.4,1793.271756
21.5,1793.463987
21.6,1793.596606
21.7,1793.639623
21.8,1793.560477
21.9,1793.32661
22,1792.916243
22.1,1792.37695
22.2,1791.783757
22.3,1791.211762
22.4,1790.736058
22.5,1790.430375
22.6,1790.311194
22.7,1790.318209
22.8,1790.385731
22.9,1790.448071
23,1790.43954
23.1,1790.294707
23.2,1790.012051
23.3,1789.737166
23.4,1789.636279
23.5,1789.875615
23.6,1790.613015
23.7,1791.791597
23.8,1793.126846
23.9,1794.32328
24,1795.085415
24.1,1795.119913
24.2,1794.343394
24.3,1793.056031
24.4,1791.598863
24.5,1790.31293
24.6,1789.535016
24.7,1789.52673
24.8,1790.485283
24.9,1792.605803
25,1796.08342
